Song,Year,Artist,Winner,trackID
"""Rhinestone Cowboy""",1976,Glen Campbell,0,0VwTeYNjcl30DyQlt3GPe0
"""Rockstar""",2019,Post Malone featuring 21 Savage,0,0e7ipj03S05BNilyu5bRzt
"""Roll with It""",1989,Steve Winwood,0,2QlPByrmEO9XciNBXCrawR
"""Rolling in the Deep""",2012,Adele,1,1CkvWZme3pRgbzaxZnTl5X
"""Rosanna""",1983,Toto,1,37BTh5g05cxBIRYMbw8g2T
"""Royals""",2014,Lorde,0,2dLLR6qlu5UJ5gk0dKz0h3
"""Sailing""",1981,Christopher Cross,1,6Hu6dzwlvoyg3zBUC8k4BK
"""Save the Best for Last""",1993,Vanessa Williams,0,7okbmgA8lRBGl5limZ7LFM
"""Say My Name""",2001,Destiny's Child,0,7H6ev70Weq6DdpZyyTmUXk
"""Shake It Off""",2015,Taylor Swift,0,5xTtaWoae3wi06K5WfVUUH
"""Shallow""",2019,Lady Gaga & Bradley Cooper,0,2VxeLyX666F8uXCJ0dZF8B
"""She Drives Me Crazy""",1990,Fine Young Cannibals,0,4d6eqRtpDX7tydHJGDZUBQ
"""Sledgehammer""",1987,Peter Gabriel,0,4AUS8KNz7zX8XFu9L38GT0
"""Smooth""",2000,Santana featuring Rob Thomas,1,0n2SEXB2qoRQg171q7XqeW
"""Somebody That I Used to Know""",2013,Gotye featuring Kimbra,1,4wCmqSrbyCgxEXROQE6vtV
"""Somethin' Stupid""",1968,Frank Sinatra & Nancy Sinatra,0,4feXcsElKIVsGwkbnTHAfV
"""Something to Talk About""",1992,Bonnie Raitt,0,6Ceejf3zBXvAhIY9DbP1Pr
"""Song Sung Blue""",1973,Neil Diamond,0,4FZ8wtTaOAbYvyChBt4GEQ
"""Spinning Wheel""",1970,"Blood, Sweat & Tears",0,0spSRHFS4zF4Imvz9sJcfL
"""Stay with Me (Darkchild Version)""",2015,Sam Smith,1,5Nm9ERjJZ5oyfXZTECKmRt
"""Stayin' Alive""",1979,Bee Gees,0,5ubvP9oKmxLUVq506fgLhk
"""Steppin' Out""",1983,Joe Jackson,0,2KY0QUeRY3IPuJI1gyU9BJ
"""Strangers in the Night""",1967,Frank Sinatra,1,74VR3AkGPhbYXnxcOYa16x
"""Streets of Philadelphia""",1995,Bruce Springsteen,0,3fbnbn6A5O5RNb08tlUEgd
"""Stressed Out""",2017,Twenty One Pilots,0,3CRDbSIZ4r5MsZ0YwxuEkn
"""Stronger (What Doesn't Kill You)""",2013,Kelly Clarkson,0,6D60klaHqbCl9ySc8VcRss
Sunflower,2020,Post Malone & Swae Lee,0,3KkXRkHbMCARz0aVfEt68P
"""Sunny Came Home""",1998,Shawn Colvin,1,4mOxpj82q6n3EO7HBZCelX
"""Take Five""",1962,The Dave Brubeck Quartet,0,1YQWosTIljIvxAgHWTp7KP
"""Talk""",2020,Khalid,0,0rTV5WefWd1J3OwIheTzxM
"""Tears in Heaven""",1993,Eric Clapton,1,7utRJ4BeYx85khzP3lKoBX
"""That's What Friends Are For""",1987,"Dionne Warwick & Friends (Elton John, Gladys Knight & Stevie Wonder)",0,1cOj24fUMnBSXhtp7waHVW
"""The 'In' Crowd""",1966,Ramsey Lewis Trio,0,0dQ9lg1dRPNc7Cx2v3QphO
"""The Boy Is Mine""",1999,Brandy & Monica,0,6sHsXIJoEN5JpdkGMQDJxt
"""The Boys of Summer""",1986,Don Henley,0,4gvea7UlDkAvsJBPZAd4oB
"""The Cave""",2012,Mumford & Sons,0,7IxVWmdabNVhfLBV3JD0nJ
"""The Chipmunk Song (Christmas Don't Be Late)""",1959,David Seville,0,7mZwaEEaHSeTYC2hTAjUki
"""The End of the Innocence""",1990,Don Henley,0,3NWcFiL6oCEagrFiTdDr1m
"""The First Time Ever I Saw Your Face""",1973,Roberta Flack,1,0SxFyA4FqmEQqZVuAlg8lf
"""The Gambler""",1980,Kenny Rogers,0,5KqldkCunQ2rWxruMEtGh0
"""The Girl from Ipanema""",1965,Stan Getz & Astrud Gilberto,1,3898C4AbdbptwYet6547e5
"""The Heart of Rock & Roll""",1985,Huey Lewis and the News,0,715sEYWkafd4xvl87dwZgu
"""The Joke""",2019,Brandi Carlile,0,18k8IlS52uxRWObykDUZFG
"""The Living Years""",1990,Mike + The Mechanics,0,7tJnjRY2js0yXtNUWE4fgF
"""The Middle""",2019,"Zedd, Maren Morris & Grey",0,09IStsImFySgyp0pIQdqAc
"""The Power of Love""",1986,Huey Lewis and the News,0,2olVm1lHicpveMAo4AUDRB
"""The Pretender""",2008,Foo Fighters,0,7x8dCjCr0x6x2lXKujYD34
"""The River of Dreams""",1994,Billy Joel,0,30qVCFYKBtAENjTIBA8FPZ
"""The Rose""",1981,Bette Midler,0,562JrM9b7jiu8LgzV62x3o
"""The Second Time Around""",1962,Frank Sinatra,0,5ccGCE1AceABOunwSCVAZb
"""The Shadow of Your Smile (Love Theme From ""The Sandpiper"")""",1966,Tony Bennett,0,66YI4JFp7BcMcepibGprsN
"""The Story of O.J.""",2018,Jay-Z,0,6JpN5w95em8SODPiM7W2PH
"""The Three Bells""",1960,The Browns,0,24SbmQo3XQkNLpSBYda4DA
"""Theme from A Summer Place""",1961,Percy Faith,1,6zwvB879PJSpTyFcg2wwnL
"""Theme from New York, New York""",1981,Frank Sinatra,0,4ODWgs1CVAZKDbryEodjiz
"""Theme from Shaft""",1972,Isaac Hayes,0,7KMILVTQdVS4zQ8ilTcpRO
"""Thinkin Bout You""",2013,Frank Ocean,0,7DfFc7a6Rwfi3YQMRbDMau
"""Thinking Out Loud""",2016,Ed Sheeran,0,34gCuhDGsG4bRPIf9bb02f
"""This Is America""",2019,Childish Gambino,1,0b9oOr2ZgvyQu88wzixux9
